,County.2,AD #,"AD Pop.
in County","% of County
in AD"
195,Taylor,87,20689,1.0
196,Trempealeau,68,2511,0.087
197,Trempealeau,92,26305,0.913
198,Vernon,50,847,0.028
199,Vernon,96,28926,0.972
200,Vilas,34,17989,0.839
201,Vilas,74,3441,0.161
202,Walworth,31,30450,0.298
203,Walworth,32,51996,0.509
204,Walworth,33,6336,0.062
205,Walworth,43,12621,0.123
206,Walworth,83,825,0.008
207,Washburn,73,8747,0.55
208,Washburn,75,7164,0.45
209,Washington,22,10509,0.08
210,Washington,24,20003,0.152
211,Washington,39,2736,0.021
212,Washington,58,57233,0.434
213,Washington,59,28454,0.216
214,Washington,60,12952,0.098
215,Waukesha,13,24127,0.062
216,Waukesha,14,25843,0.066
217,Waukesha,15,20608,0.053
218,Waukesha,22,40202,0.103
219,Waukesha,24,7343,0.019
220,Waukesha,33,18214,0.047
221,Waukesha,38,26053,0.067
222,Waukesha,83,36254,0.093
223,Waukesha,84,18976,0.049
224,Waukesha,97,57279,0.147
225,Waukesha,98,57515,0.148
226,Waukesha,99,57477,0.147
227,Waupaca,6,8389,0.16
228,Waupaca,40,44021,0.84
229,Waushara,40,11708,0.478
230,Waushara,41,89,0.004
231,Waushara,72,12699,0.518
232,Winnebago,53,31170,0.187
233,Winnebago,54,57252,0.343
234,Winnebago,55,43277,0.259
235,Winnebago,56,10751,0.064
236,Winnebago,57,24544,0.147
237,Wood,69,18017,0.241
238,Wood,70,16210,0.217
239,Wood,72,33812,0.452
240,Wood,86,6710,0.09
