,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
161,54.0,Marion,39437.0,0.181
162,54.0,St. Clair,18575.0,0.085
163,54.0,Washington,11300.0,0.052
164,55.0,Clark,16335.0,0.075
165,55.0,Clay,13815.0,0.064
166,55.0,Coles,53873.0,0.248
167,55.0,Crawford,19817.0,0.091
168,55.0,Cumberland,11048.0,0.051
169,55.0,Edgar,1734.0,0.008
170,55.0,Edwards,6721.0,0.031
171,55.0,Effingham,7989.0,0.037
172,55.0,Jasper,9698.0,0.045
173,55.0,Lawrence,16833.0,0.077
174,55.0,Richland,16233.0,0.075
175,55.0,Wabash,11947.0,0.055
176,55.0,Wayne,16760.0,0.077
177,55.0,White,14665.0,0.067
178,56.0,Jersey,2462.0,0.011
179,56.0,Madison,197121.0,0.906
180,56.0,St. Clair,17885.0,0.082
181,57.0,Madison,13679.0,0.063
182,57.0,St. Clair,203789.0,0.937
183,58.0,Jackson,44760.0,0.206
184,58.0,Jefferson,38827.0,0.179
185,58.0,Monroe,32957.0,0.152
186,58.0,Perry,22350.0,0.103
187,58.0,Randolph,33476.0,0.154
188,58.0,St. Clair,29807.0,0.137
189,58.0,Union,11875.0,0.055
190,58.0,Washington,3416.0,0.016
191,59.0,Alexander,8238.0,0.038
192,59.0,Franklin,39561.0,0.182
193,59.0,Gallatin,5589.0,0.026
194,59.0,Hamilton,8457.0,0.039
195,59.0,Hardin,4320.0,0.02
196,59.0,Jackson,15458.0,0.071
197,59.0,Johnson,12582.0,0.058
198,59.0,Massac,15429.0,0.071
199,59.0,Pope,4470.0,0.021
200,59.0,Pulaski,6161.0,0.028
201,59.0,Saline,24913.0,0.115
202,59.0,Union,5933.0,0.027
203,59.0,Williamson,66357.0,0.305
