Branch,First Name,Last Name,District,Party,Counties
House,Roxann,Robinson,27th,R,Chesterfield
House,Debra,Rodman,73rd,D,Henrico
House,Danica,Roem,13th,D,Prince William
House,Nick,Rush,7th,R,"Floyd, Montgomery, Pulaski"
House,Ibraheem,Samirah,86th,D,"Fairfax, Loudoun"
House,Mark,Sickles,43rd,D,Fairfax
House,Marcus,Simon,53rd,D,Fairfax
House,Christopher,Stolle,83rd,R,"Norfolk City, Virginia Beach City"
House,Rip,Sullivan Jr.,48th,D,"Arlington, Fairfax"
House,Bob,Thomas Jr.,28th,R,Stafford
House,Luke,Torian,52nd,D,Prince William
House,David,Toscano,57th,D,Albemarle
House,Kathy,Tran,42nd,D,Fairfax
House,Cheryl,Turpin,85th,D,Virginia Beach City
House,Roslyn,Tyler,75th,D,"Brunswick, Dinwiddie, Greensville, Isle of Wight, Lunenburg, Southampton, Surry, Sussex"
House,Schuyler,VanValkenburg,72nd,D,Henrico
House,Jeion,Ward,92nd,D,Hampton City
House,Lee,Ware,65th,R,"Chesterfield, Fluvanna, Goochland, Powhatan"
House,Vivian,Watts,39th,D,Fairfax
House,Michael,Webert,18th,R,"Culpeper, Fauquier, Rappahannock, Warren"
House,Tony,Wilt,26th,R,Rockingham
House,Thomas,Wright Jr.,61st,R,"Amelia, Cumberland, Lunenburg, Mecklenburg, Nottoway"
House,David,Yancey,94th,R,Newport News City
