,County,SD #,"SD Pop.
in County","% of County
in SD"
137,Laurens,20.0,48434.0,1.0
138,Lee,13.0,28298.0,1.0
139,Liberty,1.0,48019.0,0.757
140,Liberty,19.0,15434.0,0.243
141,Lincoln,24.0,7996.0,1.0
142,Long,19.0,14464.0,1.0
143,Lowndes,8.0,109233.0,1.0
144,Lumpkin,51.0,29966.0,1.0
145,McDuffie,23.0,21875.0,1.0
146,McIntosh,3.0,14333.0,1.0
147,Macon,15.0,14740.0,1.0
148,Madison,47.0,28120.0,1.0
149,Marion,15.0,8742.0,1.0
150,Meriwether,29.0,21992.0,1.0
151,Miller,11.0,6125.0,1.0
152,Mitchell,11.0,11436.0,0.487
153,Mitchell,12.0,12062.0,0.513
154,Monroe,18.0,26424.0,1.0
155,Montgomery,19.0,9123.0,1.0
156,Morgan,25.0,17868.0,1.0
157,Murray,54.0,39628.0,1.0
158,Muscogee,15.0,117750.0,0.62
159,Muscogee,29.0,72135.0,0.38
160,Newton,17.0,38866.0,0.389
161,Newton,43.0,61092.0,0.611
162,Oconee,46.0,32808.0,1.0
163,Oglethorpe,24.0,14899.0,1.0
164,Paulding,30.0,38281.0,0.269
165,Paulding,31.0,104043.0,0.731
166,Peach,18.0,27695.0,1.0
167,Pickens,51.0,18038.0,0.613
168,Pickens,54.0,11393.0,0.387
169,Pierce,7.0,18758.0,1.0
170,Pike,16.0,17869.0,1.0
171,Polk,31.0,41475.0,1.0
172,Pulaski,20.0,12010.0,1.0
173,Putnam,25.0,21218.0,1.0
174,Quitman,12.0,2513.0,1.0
175,Rabun,50.0,16276.0,1.0
176,Randolph,12.0,7719.0,1.0
177,Richmond,22.0,171645.0,0.856
178,Richmond,23.0,28276.0,0.141
179,Richmond,24.0,628.0,0.003
180,Rockdale,17.0,17707.0,0.208
181,Rockdale,43.0,67508.0,0.792
182,Schley,15.0,5010.0,1.0
183,Screven,23.0,14593.0,1.0
184,Seminole,11.0,8729.0,1.0
185,Spalding,16.0,64073.0,1.0
186,Stephens,50.0,26175.0,1.0
187,Stewart,12.0,6058.0,1.0
188,Sumter,12.0,24672.0,0.752
189,Sumter,13.0,8147.0,0.248
190,Talbot,15.0,6865.0,1.0
191,Taliaferro,24.0,1717.0,1.0
192,Tattnall,4.0,12675.0,0.497
193,Tattnall,19.0,12845.0,0.503
194,Taylor,15.0,8906.0,1.0
195,Telfair,19.0,16500.0,1.0
196,Terrell,12.0,9315.0,1.0
197,Thomas,8.0,7785.0,0.174
198,Thomas,11.0,36935.0,0.826
199,Tift,13.0,40118.0,1.0
200,Toombs,19.0,27223.0,1.0
201,Towns,50.0,10471.0,1.0
202,Treutlen,19.0,6885.0,1.0
203,Troup,28.0,19284.0,0.288
204,Troup,29.0,47760.0,0.712
205,Turner,13.0,8930.0,1.0
206,Twiggs,26.0,9023.0,1.0
207,Union,51.0,21356.0,1.0
208,Upson,18.0,27153.0,1.0
209,Walker,53.0,68756.0,1.0
210,Walton,25.0,13126.0,0.157
211,Walton,46.0,70642.0,0.843
212,Ware,7.0,36312.0,1.0
213,Warren,23.0,5834.0,1.0
214,Washington,26.0,21187.0,1.0
215,Wayne,19.0,30099.0,1.0
216,Webster,12.0,2799.0,1.0
217,Wheeler,19.0,7421.0,1.0
218,White,51.0,27144.0,1.0
219,Whitfield,54.0,102599.0,1.0
220,Wilcox,7.0,5041.0,0.545
221,Wilcox,13.0,4214.0,0.455
222,Wilkes,24.0,10593.0,1.0
223,Wilkinson,26.0,9563.0,1.0
224,Worth,13.0,21679.0,1.0
