,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
199,21,Kerr,49625,0.071
200,21,Real,3309,0.005
201,21,Travis,189294,0.271
202,22,Brazoria,158276,0.227
203,22,Fort Bend,439464,0.629
204,22,Harris,100760,0.144
205,23,Bexar,275373,0.394
206,23,Brewster,9232,0.013
207,23,Crane,4375,0.006
208,23,Crockett,3719,0.005
209,23,Culberson,2398,0.003
210,23,Dimmit,9996,0.014
211,23,Edwards,2002,0.003
212,23,El Paso,102159,0.146
213,23,Frio,17217,0.025
214,23,Hudspeth,3476,0.005
215,23,Jeff Davis,2342,0.003
216,23,Kinney,3598,0.005
217,23,La Salle,5123,0.007
218,23,Loving,82,0.0
219,23,Maverick,54258,0.078
220,23,Medina,46006,0.066
221,23,Pecos,15507,0.022
222,23,Presidio,7818,0.011
223,23,Reagan,3367,0.005
224,23,Reeves,13783,0.02
225,23,Schleicher,3461,0.005
226,23,Sutton,4128,0.006
227,23,Terrell,984,0.001
228,23,Upton,3355,0.005
229,23,Uvalde,26405,0.038
230,23,Val Verde,48879,0.07
231,23,Ward,10658,0.015
232,23,Winkler,7110,0.01
233,23,Zavala,11677,0.017
234,24,Dallas,330826,0.474
235,24,Denton,112782,0.161
236,24,Tarrant,254894,0.365
237,25,Bell,34427,0.049
238,25,Bosque,18212,0.026
239,25,Burnet,42750,0.061
240,25,Coryell,75388,0.108
241,25,Erath,17534,0.025
242,25,Hamilton,8517,0.012
243,25,Hays,38920,0.056
244,25,Hill,35089,0.05
245,25,Johnson,150934,0.216
246,25,Lampasas,19677,0.028
247,25,Somervell,8490,0.012
248,25,Tarrant,7065,0.01
249,25,Travis,241475,0.346
250,26,Dallas,841,0.001
251,26,Denton,549832,0.787
252,26,Tarrant,147815,0.212
253,27,Aransas,23158,0.033
254,27,Bastrop,29949,0.043
255,27,Caldwell,20233,0.029
256,27,Calhoun,21381,0.031
257,27,Gonzales,13668,0.02
258,27,Jackson,14075,0.02
259,27,Lavaca,19263,0.028
260,27,Matagorda,36702,0.053
261,27,Nueces,340223,0.487
262,27,Refugio,7383,0.011
263,27,San Patricio,44379,0.064
264,27,Victoria,86793,0.124
265,27,Wharton,41280,0.059
266,28,Atascosa,44911,0.064
267,28,Bexar,158356,0.227
268,28,Hidalgo,128731,0.184
269,28,La Salle,1763,0.003
270,28,McMullen,707,0.001
271,28,Starr,60968,0.087
272,28,Webb,250304,0.358
273,28,Wilson,38730,0.055
274,28,Zapata,14018,0.02
275,29,Harris,698488,1.0
276,30,Dallas,698487,1.0
277,31,Bell,275808,0.395
278,31,Williamson,422677,0.605
279,32,Collin,47657,0.068
280,32,Dallas,650831,0.932
281,33,Dallas,358632,0.513
282,33,Tarrant,339850,0.487
283,34,Bee,31861,0.046
