,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,Honolulu,680496,1.0
1,2,Hawaii,185079,0.272
2,2,Honolulu,272711,0.401
3,2,Kalawao,90,0.0
4,2,Kauai,67091,0.099
5,2,Maui,154834,0.228
