,CD #.1,County.1,"County Pop.
in CD","% of CD
in County"
0,1,Belknap,58990,0.09
1,1,Carroll,47818,0.073
2,1,Grafton,3333,0.005
3,1,Hillsborough,173909,0.264
4,1,Merrimack,13451,0.02
5,1,Rockingham,237581,0.361
6,1,Strafford,123143,0.187
7,2,Belknap,1098,0.002
8,2,Cheshire,77117,0.117
9,2,Coos,33055,0.05
10,2,Grafton,85785,0.13
11,2,Hillsborough,226812,0.345
12,2,Merrimack,132994,0.202
13,2,Rockingham,57642,0.088
14,2,Sullivan,43742,0.066
