,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
204,102,Vermilion,2204,0.02
205,103,Champaign,108734,1.0
206,104,Champaign,43503,0.4
207,104,Vermilion,65231,0.6
208,105,Livingston,6107,0.056
209,105,McLean,102627,0.944
210,106,Ford,14081,0.129
211,106,Iroquois,29718,0.273
212,106,Livingston,30999,0.285
213,106,Vermilion,14190,0.131
214,106,Woodford,19747,0.182
215,107,Bond,17768,0.163
216,107,Clinton,3136,0.029
217,107,Effingham,26253,0.241
218,107,Fayette,22140,0.204
219,107,Marion,39437,0.363
220,108,Clinton,34626,0.318
221,108,Madison,44233,0.407
222,108,St. Clair,18575,0.171
223,108,Washington,11300,0.104
224,109,Clay,13815,0.127
225,109,Edwards,6721,0.062
226,109,Effingham,7989,0.073
227,109,Jasper,9698,0.089
228,109,Lawrence,10906,0.1
229,109,Richland,16233,0.149
230,109,Wabash,11947,0.11
231,109,Wayne,16760,0.154
232,109,White,14665,0.135
233,110,Clark,16335,0.15
234,110,Coles,53873,0.495
235,110,Crawford,19817,0.182
236,110,Cumberland,11048,0.102
237,110,Edgar,1734,0.016
238,110,Lawrence,5927,0.055
239,111,Jersey,2462,0.023
240,111,Madison,106272,0.977
241,112,Madison,90849,0.836
242,112,St. Clair,17885,0.164
243,113,Madison,13679,0.126
244,113,St. Clair,95004,0.874
245,114,St. Clair,108785,1.0
246,115,Jackson,44760,0.412
247,115,Jefferson,38827,0.357
248,115,Perry,9856,0.091
249,115,Union,11875,0.109
250,115,Washington,3416,0.031
251,116,Monroe,32957,0.303
252,116,Perry,12494,0.115
253,116,Randolph,33476,0.308
254,116,St. Clair,29807,0.274
255,117,Franklin,39561,0.364
256,117,Hamilton,2816,0.026
257,117,Williamson,66357,0.61
258,118,Alexander,8238,0.076
259,118,Gallatin,5589,0.051
260,118,Hamilton,5641,0.052
261,118,Hardin,4320,0.04
262,118,Jackson,15458,0.142
263,118,Johnson,12582,0.116
264,118,Massac,15429,0.142
265,118,Pope,4470,0.041
266,118,Pulaski,6161,0.057
267,118,Saline,24913,0.229
268,118,Union,5933,0.055
