,HD #.1,County.3,"County Pop.
in HD","% of HD
in County"
198,69,Foard,1336,0.008
199,69,Knox,3719,0.023
200,69,Wichita,131500,0.821
201,70,Collin,172143,1.0
202,71,Jones,20202,0.121
203,71,Nolan,15216,0.091
204,71,Taylor,131506,0.788
205,72,Coke,3320,0.019
206,72,Concho,4087,0.024
207,72,Glasscock,1226,0.007
208,72,Howard,35012,0.205
209,72,Irion,1599,0.009
210,72,Reagan,3367,0.02
211,72,Runnels,10501,0.062
212,72,Sterling,1143,0.007
213,72,Tom Green,110224,0.647
214,73,Comal,108472,0.651
215,73,Gillespie,24837,0.149
216,73,Kendall,33410,0.2
217,74,Brewster,9232,0.057
218,74,Culberson,2398,0.015
219,74,Hudspeth,3476,0.021
220,74,Jeff Davis,2342,0.014
221,74,Kinney,3598,0.022
222,74,Loving,82,0.001
223,74,Maverick,54258,0.334
224,74,Pecos,15507,0.096
225,74,Presidio,7818,0.048
226,74,Reeves,13783,0.085
227,74,Terrell,984,0.006
228,74,Val Verde,48879,0.301
229,75,El Paso,159691,1.0
230,76,El Paso,159752,1.0
231,77,El Paso,160385,1.0
232,78,El Paso,160161,1.0
233,79,El Paso,160658,1.0
234,80,Dimmit,9996,0.062
235,80,Frio,17217,0.106
236,80,Uvalde,26405,0.163
237,80,Webb,82636,0.51
238,80,Zapata,14018,0.087
239,80,Zavala,11677,0.072
240,81,Andrews,14786,0.087
241,81,Ector,137130,0.808
242,81,Ward,10658,0.063
243,81,Winkler,7110,0.042
244,82,Crane,4375,0.027
245,82,Dawson,13833,0.085
246,82,Martin,4799,0.029
247,82,Midland,136872,0.839
248,82,Upton,3355,0.021
249,83,Borden,641,0.004
250,83,Gaines,17526,0.101
251,83,Lubbock,110861,0.637
252,83,Lynn,5915,0.034
253,83,Mitchell,9403,0.054
254,83,Scurry,16921,0.097
255,83,Terry,12651,0.073
256,84,Lubbock,167970,1.0
257,85,Fort Bend,104827,0.654
258,85,Jackson,14075,0.088
259,85,Wharton,41280,0.258
260,86,Dallam,6703,0.041
261,86,Deaf Smith,19372,0.117
262,86,Hartley,6062,0.037
263,86,Oldham,2052,0.012
264,86,Parmer,10269,0.062
265,86,Randall,120725,0.731
266,87,Carson,6182,0.035
267,87,Hutchinson,22150,0.127
268,87,Moore,21904,0.126
269,87,Potter,121073,0.694
270,87,Sherman,3034,0.017
271,88,Armstrong,1901,0.012
272,88,Bailey,7165,0.045
273,88,Briscoe,1637,0.01
274,88,Castro,8062,0.05
275,88,Cochran,3127,0.019
276,88,Donley,3677,0.023
277,88,Gray,22535,0.14
278,88,Hale,36273,0.225
279,88,Hansford,5613,0.035
280,88,Hemphill,3807,0.024
281,88,Hockley,22935,0.143
282,88,Lamb,13977,0.087
283,88,Lipscomb,3302,0.021
284,88,Ochiltree,10223,0.064
285,88,Roberts,929,0.006
286,88,Swisher,7854,0.049
287,88,Yoakum,7879,0.049
288,89,Collin,172130,1.0
289,90,Tarrant,159684,1.0
290,91,Tarrant,162838,1.0
291,92,Tarrant,162326,1.0
292,93,Tarrant,162216,1.0
293,94,Tarrant,167374,1.0
294,95,Tarrant,161634,1.0
295,96,Tarrant,164930,1.0
296,97,Tarrant,168869,1.0
297,98,Tarrant,164081,1.0
298,99,Tarrant,170418,1.0
299,100,Dallas,161143,1.0
300,101,Tarrant,164664,1.0
301,102,Dallas,161136,1.0
302,103,Dallas,170948,1.0
303,104,Dallas,172784,1.0
304,105,Dallas,175728,1.0
