,SD #.1,County.1,"County Pop.
in SD","% of SD
in County"
158,24.0,Comanche,13974.0,0.018
159,24.0,Coryell,75388.0,0.094
160,24.0,Gillespie,24837.0,0.031
161,24.0,Hamilton,8517.0,0.011
162,24.0,Kerr,49625.0,0.062
163,24.0,Lampasas,19677.0,0.025
164,24.0,Llano,19301.0,0.024
165,24.0,Mills,4936.0,0.006
166,24.0,San Saba,6131.0,0.008
167,24.0,Taylor,91530.0,0.115
168,24.0,Travis,48656.0,0.061
169,25.0,Bexar,410768.0,0.504
170,25.0,Comal,108472.0,0.133
171,25.0,Guadalupe,81675.0,0.1
172,25.0,Hays,109017.0,0.134
173,25.0,Kendall,33410.0,0.041
174,25.0,Travis,72429.0,0.089
175,26.0,Bexar,802046.0,1.0
176,27.0,Cameron,406220.0,0.516
177,27.0,Hidalgo,326115.0,0.414
178,27.0,Kenedy,416.0,0.001
179,27.0,Kleberg,32061.0,0.041
180,27.0,Willacy,22134.0,0.028
181,28.0,Baylor,3726.0,0.005
182,28.0,Borden,641.0,0.001
183,28.0,Childress,7041.0,0.009
184,28.0,Coke,3320.0,0.004
185,28.0,Coleman,8895.0,0.011
186,28.0,Concho,4087.0,0.005
187,28.0,Cottle,1505.0,0.002
188,28.0,Crane,4375.0,0.006
189,28.0,Crosby,6059.0,0.008
190,28.0,Dawson,13833.0,0.018
191,28.0,Dickens,2444.0,0.003
192,28.0,Eastland,18583.0,0.024
193,28.0,Fisher,3974.0,0.005
194,28.0,Floyd,6446.0,0.008
195,28.0,Foard,1336.0,0.002
196,28.0,Garza,6461.0,0.008
197,28.0,Hale,36273.0,0.047
198,28.0,Hardeman,4139.0,0.005
199,28.0,Haskell,5899.0,0.008
200,28.0,Hockley,22935.0,0.029
201,28.0,Irion,1599.0,0.002
202,28.0,Jones,20202.0,0.026
203,28.0,Kent,808.0,0.001
204,28.0,Kimble,4607.0,0.006
205,28.0,King,286.0,0.0
206,28.0,Knox,3719.0,0.005
207,28.0,Lamb,13977.0,0.018
208,28.0,Lubbock,278831.0,0.358
209,28.0,Lynn,5915.0,0.008
210,28.0,McCulloch,8283.0,0.011
211,28.0,Mason,4012.0,0.005
212,28.0,Menard,2242.0,0.003
213,28.0,Mitchell,9403.0,0.012
214,28.0,Motley,1210.0,0.002
215,28.0,Nolan,15216.0,0.02
216,28.0,Reagan,3367.0,0.004
217,28.0,Runnels,10501.0,0.013
218,28.0,Schleicher,3461.0,0.004
219,28.0,Scurry,16921.0,0.022
220,28.0,Shackelford,3378.0,0.004
221,28.0,Stephens,9630.0,0.012
222,28.0,Sterling,1143.0,0.001
