,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,Diabetes,Poverty,LC
2771,TX,Wood County,"44,314","8,570","12,008",678,"2,743","2,345","4,027","5,837","6,470",22
2772,TX,Yoakum County,"8,568","2,830","1,000",223,424,278,457,692,"1,020",4
2773,TX,Young County,"17,979","4,340","3,598",343,"1,035",804,"1,352","2,001","2,787",9
2774,TX,Zapata County,"14,322","4,768","1,800",377,701,460,768,"1,146","4,282",7
2775,TX,Zavala County,"11,948","3,503","1,679",277,621,415,695,"1,033","3,642",6
2776,UT,Beaver County,"6,386","2,055",933,125,382,188,320,366,583,1
2777,UT,Box Elder County,"54,079","17,343","6,890","1,056","3,258","1,528","2,500","2,888","4,253",14
2778,UT,Cache County,"124,438","37,922","11,447","2,310","7,729","3,092","4,549","5,280","18,068",32
2779,UT,Carbon County,"20,295","5,355","3,440",326,"1,317",664,"1,150","1,308","3,016",5
2780,UT,Daggett County,"1,029",238,254,14,68,40,76,84,69,0
2781,UT,Davis County,"347,637","113,071","34,226","6,888","20,926","9,074","13,850","16,297","18,584",89
2782,UT,Duchesne County,"20,026","6,880","2,338",419,"1,167",536,863,999,"2,625",5
2783,UT,Emery County,"10,077","2,940","1,679",179,629,322,562,640,"1,324",2
2784,UT,Garfield County,"5,078","1,186","1,159",72,340,189,352,391,484,1
2785,UT,Grand County,"9,674","2,119","1,750",129,666,343,597,683,"1,036",2
2786,UT,Iron County,"51,001","14,791","6,373",901,"3,216","1,435","2,298","2,638","7,821",13
2787,UT,Juab County,"11,250","3,924","1,329",239,650,299,485,561,"1,136",2
2788,UT,Kane County,"7,567","1,774","1,713",108,506,282,524,584,796,1
2789,UT,Millard County,"12,863","4,029","2,141",245,777,400,703,796,"1,582",3
2790,UT,Morgan County,"11,873","4,212","1,354",256,680,319,514,601,488,3
2791,UT,Piute County,"1,420",332,403,20,94,57,114,124,231,0
2792,UT,Rich County,"2,391",690,431,42,149,78,139,157,220,0
2793,UT,Salt Lake County,"1,135,649","312,338","120,002","19,028","73,451","31,885","48,667","57,300","103,384",293
2794,UT,San Juan County,"15,356","4,708","2,096",286,943,453,753,869,"3,895",3
2795,UT,Sanpete County,"30,035","7,820","4,074",476,"1,971",893,"1,449","1,659","3,861",7
2796,UT,Sevier County,"21,316","6,299","3,403",383,"1,325",660,"1,139","1,294","2,601",5
2797,UT,Summit County,"41,106","10,237","4,893",623,"2,751","1,326","2,093","2,519","1,988",10
2798,UT,Tooele County,"67,456","22,383","6,092","1,363","4,027","1,735","2,602","3,096","4,541",17
2799,UT,Uintah County,"35,150","11,692","3,729",712,"2,089",928,"1,449","1,694","4,434",9
2800,UT,Utah County,"606,425","205,468","45,755","12,517","35,909","13,899","19,643","23,090","62,063",157
2801,UT,Wasatch County,"32,106","10,273","3,456",625,"1,944",887,"1,390","1,643","1,648",8
2802,UT,Washington County,"165,662","44,018","34,810","2,681","10,642","5,657","10,436","11,512","18,252",42
2803,UT,Wayne County,"2,719",708,564,43,176,97,178,200,372,0
2804,UT,Weber County,"251,769","71,894","28,838","4,380","16,016","7,154","11,206","13,104","26,782",65
2805,VT,Addison County,"36,776","6,346","7,042",463,"3,608","1,984","2,534","2,501","2,846",22
2806,VT,Bennington County,"35,594","6,774","7,930",494,"3,345","2,036","2,678","2,610","4,201",21
2807,VT,Caledonia County,"30,164","5,896","6,073",430,"2,848","1,646","2,129","2,090","4,365",18
2808,VT,Chittenden County,"162,372","29,221","23,620","2,135","16,268","7,657","9,363","9,409","16,489",99
2809,VT,Essex County,"6,230","1,111","1,574",81,583,385,515,499,911,3
2810,VT,Franklin County,"49,025","10,957","7,633",800,"4,535","2,434","3,010","3,019","4,308",29
2811,VT,Grand Isle County,"6,998","1,284","1,420",93,663,403,516,510,571,4
2812,VT,Lamoille County,"25,337","5,215","4,228",381,"2,402","1,276","1,598","1,592","2,902",15
2813,VT,Orange County,"28,974","5,412","5,856",395,"2,754","1,622","2,087","2,055","2,943",17
2814,VT,Orleans County,"26,841","5,228","5,911",381,"2,517","1,509","1,987","1,934","3,962",16
2815,VT,Rutland County,"59,087","10,539","12,644",770,"5,665","3,365","4,379","4,289","6,106",36
2816,VT,Washington County,"58,290","11,108","11,098",811,"5,571","3,128","3,998","3,946","5,252",35
2817,VT,Windham County,"42,869","7,727","9,412",564,"4,088","2,463","3,222","3,149","4,827",26
2818,VT,Windsor County,"55,100","10,007","12,428",731,"5,226","3,203","4,211","4,106","5,385",33
2819,VA,Accomack County,"32,545","6,756","7,402",536,"2,245","2,045","2,723","3,222","5,715",18
2820,VA,Albemarle County,"107,702","21,636","19,153","1,719","7,565","6,096","7,726","9,287","8,015",59
2821,VA,Alleghany County,"15,122","2,877","3,649",228,"1,064",987,"1,323","1,562","2,160",8
2822,VA,Amelia County,"13,020","2,714","2,487",215,904,791,"1,024","1,240","1,466",7
2823,VA,Amherst County,"31,594","6,345","6,515",504,"2,209","1,938","2,533","3,031","3,855",17
2824,VA,Appomattox County,"15,681","3,365","3,198",267,"1,076",937,"1,225","1,461","1,855",8
2825,VA,Arlington County,"234,965","41,976","24,214","3,335","17,210","11,441","13,063","16,367","13,284",130
2826,VA,Augusta County,"75,144","14,490","15,357","1,151","5,311","4,633","6,033","7,235","6,411",41
2827,VA,Bath County,"4,297",659,"1,175",52,315,303,412,484,428,2
2828,VA,Bedford County,"77,974","15,574","16,184","1,237","5,461","4,886","6,402","7,696","6,949",43
2829,VA,Bland County,"6,350","1,014","1,437",80,465,411,540,642,772,3
2830,VA,Botetourt County,"33,192","6,293","7,325",500,"2,349","2,142","2,831","3,389","2,102",18
2831,VA,Brunswick County,"16,244","2,819","3,393",223,"1,174","1,003","1,303","1,554","3,093",9
2832,VA,Buchanan County,"21,514","3,789","4,682",301,"1,549","1,381","1,813","2,169","5,734",12
2833,VA,Buckingham County,"17,065","3,055","3,231",242,"1,230","1,031","1,319","1,592","2,600",9
2834,VA,Campbell County,"55,010","10,875","10,611",864,"3,871","3,290","4,243","5,102","6,157",30
2835,VA,Caroline County,"30,461","7,141","4,876",567,"2,056","1,671","2,104","2,565","2,859",16
2836,VA,Carroll County,"29,708","5,527","7,065",439,"2,104","1,936","2,588","3,061","4,947",16
2837,VA,Charles City,"7,004","1,091","1,644",86,516,479,636,763,835,3
2838,VA,Charlotte County,"12,119","2,595","2,639",206,830,748,990,"1,177","2,073",6
2839,VA,Chesterfield County,"343,599","81,895","49,565","6,507","23,149","18,381","22,774","28,055","22,626",190
2840,VA,Clarke County,"14,508","2,942","2,972",233,"1,013",913,"1,195","1,443",953,8
2841,VA,Craig County,"5,062",937,"1,139",74,360,329,436,521,590,2
2842,VA,Culpeper County,"51,282","12,863","7,803","1,022","3,391","2,751","3,449","4,223","4,900",28
2843,VA,Cumberland County,"9,811","1,940","2,143",154,686,611,806,958,"1,498",5
2844,VA,Dickenson County,"14,782","2,957","3,154",234,"1,032",908,"1,192","1,418","3,569",8
2845,VA,Dinwiddie County,"28,208","5,660","4,835",449,"1,987","1,658","2,101","2,567","2,781",15
2846,VA,Essex County,"11,028","2,142","2,448",170,775,698,924,"1,099","1,482",6
2847,VA,Fairfax County,"1,148,433","269,030","150,075","21,376","78,010","59,927","72,952","90,613","75,911",639
2848,VA,Fauquier County,"69,465","16,253","11,150","1,291","4,695","3,928","4,966","6,096","3,947",38
2849,VA,Floyd County,"15,755","3,170","3,497",251,"1,097",994,"1,316","1,566","1,939",8
2850,VA,Fluvanna County,"26,452","5,336","5,182",423,"1,851","1,589","2,058","2,472","1,688",14
2851,VA,Franklin County,"56,445","10,908","12,995",866,"3,967","3,622","4,821","5,717","7,338",31
2852,VA,Frederick County,"86,484","20,091","14,555","1,596","5,844","4,848","6,156","7,480","5,723",48
2853,VA,Giles County,"16,837","3,503","3,642",278,"1,163","1,035","1,366","1,622","1,900",9
2854,VA,Gloucester County,"37,292","7,510","6,869",596,"2,618","2,244","2,880","3,498","3,598",20
2855,VA,Goochland County,"22,685","4,053","4,896",322,"1,630","1,481","1,946","2,344","1,340",12
2856,VA,Grayson County,"15,665","2,651","3,757",210,"1,133","1,035","1,380","1,633","2,779",8
2857,VA,Greene County,"19,612","4,761","3,251",378,"1,307","1,089","1,384","1,684","1,603",10
2858,VA,Greensville County,"11,679","2,002","1,736",159,857,662,812,"1,002","1,970",6
2859,VA,Halifax County,"34,563","7,140","8,167",567,"2,383","2,185","2,927","3,444","6,036",19
2860,VA,Hanover County,"105,923","23,560","18,271","1,872","7,251","6,128","7,812","9,521","5,655",58
2861,VA,Henrico County,"327,898","75,050","49,189","5,963","22,339","17,646","21,916","26,841","30,836",181
2862,VA,Henry County,"51,227","9,981","12,056",793,"3,588","3,297","4,406","5,209","8,183",28
2863,VA,Highland County,"2,212",301,723,23,164,169,237,273,275,1
2864,VA,Isle of Wight County,"36,552","7,672","6,778",609,"2,537","2,195","2,826","3,431","3,087",20
