,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,Diabetes,Poverty,LC
0,AL,Autauga County,"55,504","13,286","8,392","1,753","4,625","4,563","5,072","5,938","7,390",36
1,AL,Baldwin County,"212,628","46,456","42,413","6,130","18,222","19,201","22,330","25,519","21,199",138
2,AL,Barbour County,"25,270","5,247","4,757",692,"2,190","2,228","2,550","2,925","7,414",16
3,AL,Bibb County,"22,668","4,671","3,632",616,"1,969","1,936","2,153","2,514","4,137",15
4,AL,Blount County,"58,013","13,546","10,351","1,787","4,873","4,998","5,712","6,586","7,343",38
5,AL,Bullock County,"10,309","2,135","1,631",281,894,877,974,"1,138","2,956",6
6,AL,Butler County,"19,825","4,507","3,877",594,"1,677","1,747","2,025","2,312","4,154",12
7,AL,Calhoun County,"114,728","24,999","19,862","3,299","9,823","9,876","11,169","12,922","19,832",74
8,AL,Chambers County,"33,713","7,126","6,432",940,"2,915","3,028","3,487","4,007","6,036",21
9,AL,Cherokee County,"25,857","5,097","5,848",672,"2,280","2,494","2,959","3,356","4,381",16
10,AL,Chilton County,"44,067","10,521","7,209","1,388","3,675","3,690","4,157","4,829","7,303",28
11,AL,Choctaw County,"12,945","2,601","2,944",343,"1,135","1,241","1,474","1,668","3,031",8
12,AL,Clarke County,"24,083","5,269","4,643",695,"2,063","2,156","2,493","2,860","5,541",15
13,AL,Clay County,"13,367","2,750","2,706",362,"1,165","1,233","1,435","1,642","2,363",8
14,AL,Cleburne County,"14,900","3,419","2,847",451,"1,259","1,319","1,527","1,751","2,365",9
15,AL,Coffee County,"51,874","12,307","8,593","1,624","4,331","4,335","4,886","5,664","7,954",34
16,AL,Colbert County,"54,500","11,451","10,682","1,511","4,718","4,916","5,684","6,509","8,324",35
17,AL,Conecuh County,"12,469","2,622","2,733",346,"1,080","1,166","1,377","1,561","2,939",8
18,AL,Coosa County,"10,754","1,764","2,448",232,989,"1,085","1,282","1,463","1,823",7
19,AL,Covington County,"37,092","8,098","7,665","1,068","3,180","3,386","3,965","4,516","6,447",24
20,AL,Crenshaw County,"13,871","3,202","2,597",422,"1,169","1,217","1,404","1,612","2,722",9
21,AL,Cullman County,"82,755","18,596","15,135","2,454","7,028","7,204","8,247","9,487","11,256",54
22,AL,Dale County,"49,226","11,368","8,045","1,500","4,140","4,091","4,585","5,317","8,528",32
23,AL,Dallas County,"39,215","9,532","6,799","1,257","3,253","3,327","3,792","4,380","10,796",25
24,AL,DeKalb County,"71,617","17,544","12,051","2,315","5,923","5,992","6,792","7,860","13,785",47
25,AL,Elmore County,"81,677","18,232","12,026","2,406","6,947","6,754","7,439","8,742","9,151",53
26,AL,Escambia County,"37,447","8,316","6,478","1,097","3,188","3,200","3,620","4,184","7,971",24
27,AL,Etowah County,"102,755","22,220","19,092","2,932","8,825","9,084","10,415","11,982","18,257",67
28,AL,Fayette County,"16,468","3,476","3,460",458,"1,424","1,517","1,777","2,022","3,146",10
29,AL,Franklin County,"31,495","7,743","5,188","1,021","2,600","2,606","2,941","3,407","6,394",20
30,AL,Geneva County,"26,421","5,846","5,291",771,"2,257","2,394","2,790","3,190","5,659",17
31,AL,Greene County,"8,330","1,827","1,778",241,712,763,899,"1,019","2,752",5
32,AL,Hale County,"14,812","3,444","2,783",454,"1,245","1,291","1,489","1,707","3,654",9
33,AL,Henry County,"17,147","3,554","3,810",469,"1,489","1,604","1,897","2,145","2,882",11
34,AL,Houston County,"104,346","24,187","18,143","3,191","8,777","8,884","10,090","11,650","17,095",68
35,AL,Jackson County,"51,909","10,959","10,147","1,446","4,493","4,718","5,462","6,267","8,539",34
36,AL,Jefferson County,"659,197","150,913","101,476","19,916","55,591","54,186","60,076","70,123","107,752",428
37,AL,Lamar County,"13,946","3,047","2,994",402,"1,195","1,286","1,517","1,720","2,570",9
38,AL,Lauderdale County,"92,538","18,378","18,111","2,425","8,113","8,322","9,571","10,950","12,395",60
39,AL,Lawrence County,"33,049","7,139","6,012",942,"2,845","2,956","3,387","3,918","5,494",21
40,AL,Lee County,"161,604","34,438","18,611","4,544","13,830","12,130","12,601","15,032","27,901",106
41,AL,Limestone County,"94,402","21,562","14,091","2,845","7,990","7,902","8,763","10,303","10,830",62
42,AL,Lowndes County,"10,076","2,268","1,830",299,857,889,"1,019","1,176","2,585",6
43,AL,Macon County,"18,755","3,239","3,634",427,"1,692","1,686","1,916","2,192","5,213",12
44,AL,Madison County,"361,046","79,506","52,852","10,492","30,858","30,135","33,198","39,099","44,979",236
45,AL,Marengo County,"19,375","4,415","3,746",582,"1,639","1,712","1,983","2,269","4,356",12
46,AL,Marion County,"29,833","6,228","6,274",821,"2,589","2,764","3,239","3,688","5,582",19
47,AL,Marshall County,"95,548","23,844","16,023","3,146","7,854","7,947","9,011","10,424","18,873",62
48,AL,Mobile County,"413,955","97,621","65,209","12,883","34,611","34,075","38,016","44,257","80,116",269
49,AL,Monroe County,"21,327","4,665","4,181",615,"1,828","1,927","2,237","2,563","5,018",13
50,AL,Montgomery County,"226,646","53,448","33,102","7,053","18,924","18,143","19,928","23,329","46,315",147
51,AL,Morgan County,"118,818","27,083","20,325","3,574","10,059","10,229","11,599","13,449","17,301",77
52,AL,Perry County,"9,339","2,027","1,784",267,797,803,920,"1,048","3,180",6
53,AL,Pickens County,"20,176","4,042","3,713",533,"1,768","1,809","2,063","2,381","4,093",13
54,AL,Pike County,"33,267","6,423","4,951",847,"2,915","2,652","2,858","3,328","8,611",21
55,AL,Randolph County,"22,670","4,890","4,600",645,"1,950","2,070","2,415","2,758","3,771",14
56,AL,Russell County,"57,045","13,989","7,992","1,846","4,711","4,539","4,976","5,854","13,078",37
57,AL,St. Clair County,"88,199","20,195","14,350","2,665","7,455","7,484","8,413","9,799","11,644",57
58,AL,Shelby County,"213,605","50,772","31,636","6,700","17,848","17,562","19,459","22,844","15,585",139
59,AL,Sumter County,"12,687","2,468","2,213",325,"1,115","1,093","1,225","1,414","4,238",8
60,AL,Talladega County,"80,065","17,156","14,032","2,264","6,898","7,022","7,971","9,236","14,062",52
61,AL,Tallapoosa County,"40,681","8,571","8,531","1,131","3,525","3,780","4,435","5,055","7,311",26
62,AL,Tuscaloosa County,"207,811","43,888","26,661","5,791","17,838","16,038","16,983","20,076","31,238",135
63,AL,Walker County,"64,058","14,202","12,180","1,874","5,468","5,703","6,582","7,559","10,975",41
64,AL,Washington County,"16,531","3,677","3,050",485,"1,411","1,469","1,689","1,948","3,303",10
65,AL,Wilcox County,"10,719","2,582","2,033",340,891,925,"1,069","1,222","3,392",6
66,AL,Winston County,"23,722","4,879","5,086",643,"2,069","2,231","2,626","2,989","4,980",15
67,AK,Aleutians East Borough,"3,370",294,304,23,264,168,188,225,491,1
68,AK,Aleutians West Census Area,"5,763",675,377,53,438,271,298,359,451,3
69,AK,Anchorage Municipality,"294,356","72,040","30,841","5,724","18,970","12,519","14,027","16,356","27,663",159
70,AK,Bethel Census Area,"18,076","6,455","1,328",512,990,636,685,804,"5,077",9
71,AK,Bristol Bay Borough,867,166,116,13,60,41,50,59,92,0
72,AK,Denali Borough,"2,074",392,208,31,145,94,111,132,158,1
73,AK,Dillingham Census Area,"4,932","1,546",444,122,289,189,213,250,"1,015",2
74,AK,Fairbanks North Star Borough,"99,703","23,931","9,706","1,901","6,430","4,186","4,476","5,206","7,051",54
75,AK,Haines Borough,"2,526",440,541,34,180,134,180,207,288,1
76,AK,Hoonah-Angoon Census Area,"2,145",404,477,32,150,113,155,177,376,1
77,AK,Juneau City and Borough,"32,094","6,932","4,040",550,"2,158","1,459","1,727","2,012","2,596",17
78,AK,Kenai Peninsula Borough,"58,617","13,308","9,615","1,057","3,897","2,774","3,505","4,042","5,840",31
79,AK,Ketchikan Gateway Borough,"13,856","3,067","2,080",243,927,647,800,926,"1,341",7
80,AK,Kodiak Island Borough,"13,448","3,489","1,370",277,851,561,635,743,991,7
81,AK,Kusilvak Census Area,"8,202","3,369",482,267,410,259,269,316,"3,050",4
82,AK,Lake and Peninsula Borough,"1,620",454,170,36,99,66,76,88,253,0
83,AK,Matanuska-Susitna Borough,"106,532","28,922","11,845","2,298","6,650","4,459","5,203","6,068","11,768",57
84,AK,Nome Census Area,"9,921","3,454",751,274,551,354,382,448,"2,248",5
85,AK,North Slope Borough,"9,782","2,563",647,203,621,391,436,522,"1,182",5
86,AK,Northwest Arctic Borough,"7,684","2,744",553,218,420,269,289,339,"1,974",4
87,AK,Petersburg Census Area,"3,281",704,605,55,221,161,208,239,240,1
88,AK,Prince of Wales-Hyder Census Area,"6,443","1,492","1,020",118,426,302,384,445,"1,183",3
89,AK,Sitka City and Borough,"8,689","1,890","1,300",150,582,405,492,567,694,4
90,AK,Skagway Municipality,"1,157",167,171,13,84,57,68,79,50,0
91,AK,Southeast Fairbanks Census Area,"6,888","1,747",962,138,441,306,376,436,872,3
92,AK,Valdez-Cordova Census Area,"9,278","2,184","1,201",173,611,418,514,600,845,5
93,AK,Wrangell City and Borough,"2,521",495,564,39,175,132,180,206,310,1
94,AK,Yakutat City and Borough,605,116,111,9,42,30,39,45,92,0
95,AK,Yukon-Koyukuk Census Area,"5,365","1,488",751,118,332,231,282,325,"1,237",2
96,AZ,Apache County,"71,606","19,778","10,647","1,594","5,153","3,303","4,106","5,444","23,426",33
97,AZ,Cochise County,"124,756","27,294","27,394","2,200","9,630","6,812","8,938","11,224","19,219",58
98,AZ,Coconino County,"140,776","29,439","17,001","2,373","11,033","6,154","7,265","9,911","23,946",65
99,AZ,Gila County,"53,501","10,864","15,070",875,"4,207","3,337","4,553","5,551","12,661",25
100,AZ,Graham County,"37,466","10,230","5,170",824,"2,697","1,622","1,988","2,635","7,213",17
101,AZ,Greenlee County,"9,455","2,613","1,222",210,679,410,498,670,948,4
102,AZ,La Paz County,"20,601","3,488","8,103",281,"1,664","1,466","2,115","2,415","4,263",9
103,AZ,Maricopa County,"4,307,033","1,045,266","638,316","84,264","323,905","201,670","248,553","330,516","570,402","2,016"
104,AZ,Mohave County,"207,200","36,215","61,447","2,919","16,865","13,471","18,433","22,403","34,891",97
105,AZ,Navajo County,"108,956","29,397","19,185","2,369","7,894","5,339","6,818","8,815","28,216",51
106,AZ,Pima County,"1,022,769","216,857","196,634","17,481","79,690","52,865","67,673","86,590","165,811",478
107,AZ,Pinal County,"430,237","99,004","85,362","7,981","32,721","22,125","28,599","36,256","52,566",202
108,AZ,Santa Cruz County,"46,212","12,604","8,027","1,016","3,334","2,246","2,863","3,707","10,858",21
109,AZ,Yavapai County,"228,168","37,774","70,166","3,045","18,782","15,236","20,931","25,381","31,166",106
110,AZ,Yuma County,"207,534","52,667","38,002","4,245","15,263","9,907","12,701","16,092","37,751",97
111,AR,Arkansas County,"17,967","4,091","3,421",325,"1,343","1,444","1,923","1,830","3,515",14
112,AR,Ashley County,"20,283","4,647","4,021",369,"1,512","1,644","2,203","2,091","3,980",15
113,AR,Baxter County,"41,355","7,326","12,758",582,"3,257","3,982","5,711","5,267","5,650",32
114,AR,Benton County,"266,300","70,752","35,132","5,621","18,888","18,285","22,925","22,254","24,110",210
115,AR,Boone County,"37,381","8,446","7,622",671,"2,791","3,034","4,078","3,861","5,495",29
116,AR,Bradley County,"10,864","2,619","2,049",208,796,854,"1,136","1,080","2,237",8
117,AR,Calhoun County,"5,247",979,"1,105",77,413,454,611,580,772,4
118,AR,Carroll County,"27,944","6,146","6,340",488,"2,102","2,368","3,243","3,049","4,523",22
119,AR,Chicot County,"10,636","2,366","2,086",187,801,869,"1,163","1,105","2,974",8
120,AR,Clark County,"22,293","4,226","3,585",335,"1,731","1,669","2,110","2,030","4,142",17
121,AR,Clay County,"14,920","3,216","3,207",255,"1,129","1,247","1,689","1,595","2,673",11
122,AR,Cleburne County,"25,048","4,776","6,628",379,"1,950","2,281","3,191","2,975","3,852",19
123,AR,Cleveland County,"8,202","1,805","1,681",143,618,676,910,863,"1,167",6
124,AR,Columbia County,"23,627","4,885","4,068",388,"1,800","1,804","2,327","2,228","5,512",18
125,AR,Conway County,"20,916","4,734","4,085",376,"1,566","1,695","2,266","2,153","3,543",16
126,AR,Craighead County,"107,115","26,768","14,524","2,126","7,742","7,432","9,299","9,016","15,354",84
127,AR,Crawford County,"62,996","15,545","10,234","1,235","4,600","4,764","6,197","5,953","10,896",49
128,AR,Crittenden County,"48,750","13,380","6,628","1,063","3,431","3,421","4,344","4,212","10,070",38
129,AR,Cross County,"16,863","3,992","3,098",317,"1,244","1,321","1,749","1,667","3,047",13
130,AR,Dallas County,"7,393","1,563","1,635",124,563,630,858,809,"1,464",5
131,AR,Desha County,"11,764","3,039","2,159",241,843,906,"1,206","1,147","3,388",9
132,AR,Drew County,"18,547","4,024","3,159",319,"1,398","1,415","1,831","1,754","3,553",14
133,AR,Faulkner County,"123,654","28,800","14,981","2,288","9,139","8,466","10,342","10,114","15,941",97
134,AR,Franklin County,"17,890","4,143","3,403",329,"1,327","1,418","1,886","1,793","3,165",14
135,AR,Fulton County,"12,055","2,505","3,137",199,920,"1,086","1,522","1,420","2,442",9
136,AR,Garland County,"98,658","19,945","23,375","1,584","7,572","8,520","11,695","10,971","15,384",77
137,AR,Grant County,"18,165","4,096","3,203",325,"1,364","1,438","1,889","1,809","2,185",14
138,AR,Greene County,"45,053","11,044","7,114",877,"3,289","3,346","4,318","4,153","6,559",35
139,AR,Hempstead County,"21,861","5,619","3,840",446,"1,572","1,668","2,204","2,104","5,208",17
140,AR,Hot Spring County,"33,574","6,891","6,241",547,"2,583","2,730","3,599","3,438","5,225",26
141,AR,Howard County,"13,478","3,537","2,346",281,961,"1,017","1,342","1,280","2,535",10
142,AR,Independence County,"37,504","9,053","6,474",719,"2,750","2,866","3,755","3,591","5,799",29
143,AR,Izard County,"13,686","2,506","3,465",199,"1,076","1,237","1,713","1,604","2,444",10
144,AR,Jackson County,"17,135","3,470","3,023",275,"1,321","1,364","1,778","1,704","3,292",13
145,AR,Jefferson County,"69,115","15,389","11,603","1,222","5,198","5,344","6,938","6,660","14,957",54
146,AR,Johnson County,"26,552","6,618","4,324",525,"1,927","1,979","2,570","2,465","4,758",21
147,AR,Lafayette County,"6,862","1,291","1,588",102,539,609,833,785,"1,622",5
148,AR,Lawrence County,"16,525","3,603","3,232",286,"1,247","1,332","1,773","1,684","2,682",13
149,AR,Lee County,"9,176","1,705","1,760",135,719,749,984,938,"2,760",7
150,AR,Lincoln County,"13,646","2,406","2,043",191,"1,085","1,052","1,321","1,281","2,302",11
151,AR,Little River County,"12,359","2,706","2,561",215,932,"1,020","1,374","1,301","2,076",9
152,AR,Logan County,"21,722","4,760","4,203",378,"1,644","1,778","2,372","2,258","4,340",17
153,AR,Lonoke County,"72,898","18,955","9,540","1,506","5,228","5,112","6,420","6,244","8,011",57
154,AR,Madison County,"16,339","3,842","3,074",305,"1,210","1,303","1,735","1,652","2,755",12
155,AR,Marion County,"16,428","2,959","4,634",235,"1,300","1,569","2,220","2,066","2,965",12
156,AR,Miller County,"43,984","10,527","7,268",836,"3,236","3,331","4,328","4,153","8,005",34
157,AR,Mississippi County,"42,159","11,078","6,101",880,"3,012","3,032","3,878","3,747","10,018",33
158,AR,Monroe County,"7,085","1,501","1,635",119,539,613,842,792,"1,906",5
159,AR,Montgomery County,"8,919","1,672","2,416",132,700,836,"1,177","1,098","1,856",7
160,AR,Nevada County,"8,327","1,873","1,696",148,625,688,926,878,"1,594",6
161,AR,Newton County,"7,828","1,536","2,021",122,606,707,987,922,"1,534",6
162,AR,Ouachita County,"23,868","5,401","4,726",429,"1,790","1,961","2,632","2,501","4,665",18
163,AR,Perry County,"10,348","2,302","2,039",182,780,851,"1,140","1,084","1,549",8
164,AR,Phillips County,"18,572","4,817","3,402",382,"1,330","1,426","1,898","1,805","7,288",14
165,AR,Pike County,"10,726","2,321","2,116",184,813,879,"1,175","1,117","1,940",8
166,AR,Poinsett County,"24,154","5,811","4,250",461,"1,774","1,864","2,452","2,343","5,000",19
167,AR,Polk County,"20,118","4,627","4,520",367,"1,493","1,683","2,306","2,168","4,645",15
168,AR,Pope County,"63,835","14,447","9,828","1,147","4,762","4,715","6,009","5,792","10,036",50
169,AR,Prairie County,"8,248","1,695","1,892",134,633,718,983,926,"1,306",6
170,AR,Pulaski County,"393,956","92,013","58,908","7,311","29,205","29,099","37,084","35,825","57,780",309
171,AR,Randolph County,"17,557","4,024","3,542",319,"1,305","1,414","1,898","1,797","3,331",13
172,AR,St. Francis County,"25,930","5,609","4,036",445,"1,964","1,961","2,505","2,416","7,357",20
173,AR,Saline County,"119,323","28,089","20,418","2,231","8,819","9,138","11,931","11,422","9,335",94
174,AR,Scott County,"10,445","2,426","2,135",192,775,852,"1,150","1,089","2,123",8
175,AR,Searcy County,"7,938","1,609","1,967",127,610,707,981,919,"1,695",6
176,AR,Sebastian County,"128,107","30,953","19,917","2,459","9,405","9,540","12,278","11,827","23,469",101
177,AR,Sevier County,"17,115","4,830","2,437",383,"1,188","1,192","1,524","1,471","3,286",13
178,AR,Sharp County,"17,393","3,690","4,466",293,"1,318","1,541","2,155","2,009","4,098",13
179,AR,Stone County,"12,537","2,439","3,368",193,970,"1,143","1,605","1,494","2,617",9
180,AR,Union County,"39,449","9,572","6,858",760,"2,896","3,058","4,022","3,848","6,801",31
181,AR,Van Buren County,"16,506","3,287","4,309",261,"1,274","1,499","2,099","1,959","3,214",13
182,AR,Washington County,"231,996","56,975","26,650","4,527","16,831","15,315","18,535","18,157","30,938",183
183,AR,White County,"79,016","18,539","12,575","1,473","5,840","5,894","7,585","7,294","11,477",62
184,AR,Woodruff County,"6,571","1,380","1,503",109,501,564,773,727,"1,726",5
185,AR,Yell County,"21,523","5,329","3,756",423,"1,568","1,657","2,182","2,086","3,969",17
186,CA,Alameda County,"1,663,190","344,663","224,171","21,391","103,924","57,361","80,088","133,180","152,087",690
187,CA,Alpine County,"1,120",193,260,11,75,51,77,123,202,0
188,CA,Amador County,"38,626","5,870","10,283",364,"2,675","1,885","2,842","4,457","3,762",16
189,CA,Butte County,"229,294","45,870","41,618","2,846","14,563","8,723","12,582","20,120","40,728",95
190,CA,Calaveras County,"45,670","7,786","12,276",483,"3,109","2,239","3,390","5,321","5,904",18
191,CA,Colusa County,"21,805","5,995","3,118",372,"1,254",728,"1,035","1,695","2,633",9
192,CA,Contra Costa County,"1,147,439","262,016","175,456","16,262","70,569","41,733","59,547","98,184","103,883",476
193,CA,Del Norte County,"27,470","5,912","4,863",366,"1,723","1,056","1,528","2,474","6,113",11
194,CA,El Dorado County,"188,987","37,869","38,464","2,350","12,256","8,071","11,891","19,232","15,620",78
195,CA,Fresno County,"989,255","281,684","118,527","17,483","55,536","30,071","41,788","69,185","205,046",411
196,CA,Glenn County,"28,094","7,423","4,389",460,"1,645",982,"1,410","2,293","4,111",11
197,CA,Humboldt County,"136,754","26,310","23,544","1,632","8,751","5,140","7,360","11,870","26,262",56
198,CA,Imperial County,"182,830","52,296","23,042","3,245","10,265","5,654","7,908","13,022","35,830",76
199,CA,Inyo County,"18,026","3,691","4,108",229,"1,163",788,"1,176","1,861","2,087",7
200,CA,Kern County,"893,119","259,120","95,307","16,082","49,617","26,075","35,789","60,012","182,948",372
201,CA,Kings County,"150,101","40,964","15,054","2,542","8,491","4,295","5,817","9,791","24,810",63
202,CA,Lake County,"64,246","13,326","14,363",827,"4,134","2,793","4,157","6,603","12,817",26
203,CA,Lassen County,"31,163","5,349","4,437",331,"2,030","1,112","1,552","2,567","3,790",13
204,CA,Los Angeles County,"10,163,507","2,224,905","1,343,960","138,091","625,652","344,959","481,419","801,001","1,490,853","4,221"
205,CA,Madera County,"156,890","43,013","21,552","2,669","8,995","5,102","7,207","11,810","31,569",65
206,CA,Marin County,"260,955","52,487","56,424","3,257","16,965","11,437","16,970","27,261","20,222",108
207,CA,Mariposa County,"17,569","2,877","4,743",178,"1,203",860,"1,301","2,038","2,641",7
208,CA,Mendocino County,"88,018","19,048","18,671","1,182","5,565","3,655","5,406","8,576","14,156",36
209,CA,Merced County,"272,673","80,640","30,187","5,005","15,042","7,992","11,022","18,378","61,297",113
210,CA,Modoc County,"8,859","1,672","2,349",103,587,419,634,988,"1,658",3
211,CA,Mono County,"14,168","2,631","2,138",163,918,534,757,"1,260","1,313",5
212,CA,Monterey County,"437,907","114,861","57,637","7,128","25,455","14,154","19,846","32,724","49,860",182
213,CA,Napa County,"140,973","29,647","25,920","1,840","8,916","5,535","8,041","12,980","9,301",58
214,CA,Nevada County,"99,814","17,304","26,471","1,073","6,748","4,799","7,252","11,344","10,889",41
215,CA,Orange County,"3,190,400","705,999","456,229","43,818","197,037","112,878","159,434","264,313","362,109","1,325"
216,CA,Placer County,"386,166","86,233","73,776","5,352","24,131","15,380","22,509","36,210","29,873",160
217,CA,Plumas County,"18,742","3,153","5,211",195,"1,279",928,"1,409","2,197","2,640",7
218,CA,Riverside County,"2,423,266","616,211","340,498","38,245","142,916","81,394","115,017","189,008","309,235","1,007"
219,CA,Sacramento County,"1,530,615","364,311","209,612","22,611","92,167","51,889","72,960","120,713","213,232",635
220,CA,San Benito County,"60,310","15,508","7,598",962,"3,542","1,979","2,770","4,632","5,029",25
221,CA,San Bernardino County,"2,157,404","571,669","243,122","35,481","124,483","66,465","91,639","153,951","339,748",897
222,CA,San Diego County,"3,337,685","728,528","454,826","45,216","205,392","113,301","158,402","261,785","385,479","1,389"
223,CA,San Francisco County,"884,363","118,837","135,945","7,375","60,044","32,761","45,753","74,918","87,314",368
224,CA,San Joaquin County,"745,424","203,134","92,800","12,607","42,756","23,656","33,057","54,941","113,375",309
225,CA,San Luis Obispo County,"283,405","50,492","54,893","3,133","18,558","11,347","16,460","26,287","31,826",118
226,CA,San Mateo County,"771,410","160,264","121,720","9,946","48,602","28,543","40,690","66,809","48,795",320
227,CA,Santa Barbara County,"448,150","99,713","66,887","6,188","27,419","15,374","21,687","35,227","60,921",186
228,CA,Santa Clara County,"1,938,153","430,081","254,723","26,693","118,941","65,744","91,785","152,953","142,603",807
229,CA,Santa Cruz County,"275,897","53,710","43,108","3,333","17,598","10,133","14,373","23,557","33,262",114
230,CA,Shasta County,"179,921","38,750","36,542","2,405","11,368","7,345","10,808","17,241","30,155",74
231,CA,Sierra County,"2,999",470,906,29,208,157,240,373,404,1
232,CA,Siskiyou County,"43,853","8,843","10,831",548,"2,853","1,991","2,994","4,694","7,679",18
233,CA,Solano County,"445,458","99,216","67,597","6,157","27,514","16,054","22,833","37,576","43,352",185
234,CA,Sonoma County,"504,217","99,908","95,024","6,200","32,419","20,239","29,443","47,522","46,165",209
235,CA,Stanislaus County,"547,899","148,525","70,316","9,218","31,500","17,541","24,583","40,689","75,614",227
236,CA,Sutter County,"96,648","25,087","14,599","1,557","5,682","3,333","4,758","7,760","12,628",40
237,CA,Tehama County,"63,926","15,345","12,219",952,"3,908","2,502","3,669","5,877","12,718",26
238,CA,Trinity County,"12,709","2,155","3,331",133,865,618,933,"1,472","2,529",5
239,CA,Tulare County,"464,493","143,726","51,669","8,920","25,148","13,466","18,628","30,984","110,299",193
240,CA,Tuolumne County,"54,248","9,060","13,844",562,"3,674","2,541","3,816","5,975","6,205",22
241,CA,Ventura County,"854,223","198,450","128,115","12,317","52,149","30,511","43,418","71,521","80,217",354
242,CA,Yolo County,"219,116","46,251","26,495","2,870","13,445","6,906","9,441","15,617","36,761",90
243,CA,Yuba County,"77,031","21,085","9,590","1,308","4,398","2,407","3,357","5,553","11,609",32
244,CO,Adams County,"503,167","135,396","50,831","10,758","34,486","14,695","19,485","24,596","52,536",206
245,CO,Alamosa County,"16,551","3,969","2,174",315,"1,172",516,708,856,"3,251",6
246,CO,Arapahoe County,"643,052","153,189","81,353","12,171","45,686","21,028","28,305","35,340","49,795",263
247,CO,Archuleta County,"13,315","2,446","3,354",194,985,614,877,"1,042","1,549",5
248,CO,Baca County,"3,562",762,899,60,253,156,226,263,684,1
249,CO,Bent County,"5,938",886,"1,027",70,467,228,315,381,"1,285",2
250,CO,Boulder County,"322,514","62,618","44,222","4,975","24,220","11,071","14,998","18,546","39,084",132
251,CO,Broomfield County,"68,341","16,149","9,055","1,283","4,860","2,276","3,076","3,827","3,092",27
252,CO,Chaffee County,"19,638","2,951","4,832",234,"1,518",898,"1,280","1,516","2,073",8
253,CO,Cheyenne County,"1,845",468,377,37,125,72,102,122,244,0
254,CO,Clear Creek County,"9,574","1,501","1,852",119,743,417,570,711,735,3
255,CO,Conejos County,"8,184","2,171","1,549",172,550,306,431,516,"1,727",3
256,CO,Costilla County,"3,776",710,"1,025",56,276,177,257,300,"1,028",1
257,CO,Crowley County,"5,810",709,776,56,477,206,277,344,"1,400",2
258,CO,Custer County,"4,874",688,"1,509",54,375,259,374,440,621,2
259,CO,Delta County,"30,568","6,133","7,713",487,"2,212","1,374","1,976","2,323","4,982",12
260,CO,Denver County,"704,621","140,016","81,648","11,125","52,881","21,727","29,293","35,956","86,353",288
261,CO,Dolores County,"2,067",404,510,32,150,93,133,158,263,0
262,CO,Douglas County,"335,299","89,210","38,180","7,088","22,998","10,900","14,391","18,517","10,574",137
263,CO,Eagle County,"54,772","12,175","5,937",967,"3,993","1,770","2,329","2,987","4,079",22
264,CO,Elbert County,"25,642","5,474","4,058",434,"1,867","1,022","1,370","1,754","1,257",10
265,CO,El Paso County,"699,232","170,198","86,788","13,523","49,360","22,205","29,986","37,166","73,008",286
266,CO,Fremont County,"47,559","9,999","10,062",617,"3,647","2,006","2,823","3,381","6,467",19
267,CO,Garfield County,"59,118","14,997","7,347","1,191","4,114","1,930","2,588","3,257","4,429",24
268,CO,Gilpin County,"6,013",962,937,76,469,250,332,430,413,2
269,CO,Grand County,"15,321","2,625","2,587",208,"1,175",616,836,"1,048","1,332",6
270,CO,Gunnison County,"16,939","2,891","2,144",229,"1,313",564,759,939,"2,349",6
271,CO,Hinsdale County,794,147,226,11,58,38,55,64,67,0
272,CO,Huerfano County,"6,662","1,068","2,098",84,500,345,505,585,"1,352",2
273,CO,Jackson County,"1,385",235,306,18,105,61,85,103,189,0
274,CO,Jefferson County,"574,613","114,968","92,236","9,135","42,578","21,412","29,286","36,137","42,729",235
275,CO,Kiowa County,"1,376",303,327,24,97,59,84,99,190,0
276,CO,Kit Carson County,"7,158","1,816","1,370",144,489,270,381,455,823,2
277,CO,Lake County,"7,778","1,643","1,041",130,571,263,356,442,933,3
278,CO,La Plata County,"55,589","10,629","9,157",844,"4,162","2,092","2,871","3,526","4,961",22
279,CO,Larimer County,"343,976","68,427","51,994","5,437","25,586","11,943","16,435","19,934","36,954",140
280,CO,Las Animas County,"14,238","2,687","3,374",213,"1,050",618,885,"1,042","3,180",5
281,CO,Lincoln County,"5,546","1,116",986,88,408,209,291,352,806,2
282,CO,Logan County,"21,896","4,048","3,764",321,"1,650",814,"1,131","1,362","2,932",9
283,CO,Mesa County,"151,616","33,042","27,932","2,625","10,909","5,729","8,027","9,623","21,957",62
284,CO,Mineral County,766,106,237,8,59,40,58,68,65,0
285,CO,Moffat County,"13,131","3,389","1,948",269,902,456,623,772,"1,428",5
286,CO,Montezuma County,"26,140","5,856","5,574",465,"1,851","1,076","1,521","1,819","3,944",10
287,CO,Montrose County,"41,784","9,189","9,450",730,"2,966","1,756","2,504","2,965","5,312",17
288,CO,Morgan County,"28,192","7,322","4,350",581,"1,930",968,"1,335","1,628","3,127",11
289,CO,Otero County,"18,326","4,389","3,662",348,"1,275",705,"1,000","1,186","4,197",7
290,CO,Ouray County,"4,794",787,"1,250",62,363,232,330,396,368,1
291,CO,Park County,"17,905","2,781","3,474",220,"1,392",811,"1,100","1,394","1,526",7
292,CO,Phillips County,"4,292","1,044",953,82,295,174,249,293,460,1
